root_id,cell_type
720575941353361200,LAL200
720575941353361200,LHAV2b10
720575941353592880,LAL153
720575941353912368,LAL169
720575941354012720,L2
720575941354190896,T1
720575941354456368,LAL093
720575941393315588,LLPC3
720575941393471382,Mi1
720575941393769476,L1
720575941393931780,L3
720575941393956246,L2
720575941393958038,L5
720575941394076822,LC10c
720575941394208406,LAL085
720575941394276356,LAL196
720575941394495382,R7
720575941394538646,AL-MBDL1
720575941394538646,ALIN6
720575941394629782,L4
720575941394715030,L5
720575941394879126,T1
720575941394881174,L5
720575941395124374,LC20a
720575941395162262,LC20b
720575941395231382,LC20a
720575941402897699,"LAL163,LAL164"
720575941403054627,L5
720575941403121948,L5
720575941403242531,L4
720575941403454576,vDeltaA_a
720575941403454576,vDeltaB
720575941403616803,LAL155
720575941404089968,DNg76
720575941404996976,L4
720575941405785968,L4
720575941406091120,Dm13
720575941406145136,R8
720575941406201200,L5
720575941406720815,L5
720575941407396526,L1
720575941408086063,L5
720575941408745902,L5
720575941409061806,T1
720575941409284526,L5
720575941409352239,Tm2
720575941409493807,L5
720575941409557166,L1
720575941409839790,L5
720575941409892399,LAL167a
720575941409959215,L2
720575941409976494,L1
720575941410009647,LLPC1
720575941410198319,vDeltaB
720575941410198319,vDeltaD
720575941410304303,LHAV2f2_a
720575941412342187,L5
720575941412491375,L5
720575941412506027,L1
720575941412685201,vDeltaA_a
720575941412685201,vDeltaD
720575941413132911,L4
720575941413549201,L4
720575941413779567,L5
720575941413893231,R8
720575941414326676,L5
720575941414619281,L4
720575941415292956,T1
720575941415521684,LAL159
720575941415591313,R8
720575941415706260,L4
720575941415941780,L5
720575941415993233,LAL110
720575941415993233,LHAV2k13
720575941416020884,LAL086
720575941416020884,LAL145
720575941416038804,LAL124
720575941416045201,LCe06
720575941416563228,L5
720575941417613596,R7
720575941417768220,C3
720575941418348572,L5
720575941427087444,Mi1
720575941427555412,v2LN46a
720575941427555412,vDeltaF
720575941428257364,L5
720575941428650324,LC44
720575941428698452,L3
720575941429002068,L2
720575941429061460,L2
720575941429222740,Mi1
720575941429282132,T1
720575941429334868,LAL110
720575941429334868,LCNOpm
720575941429334868,R8
720575941430509015,R8
720575941431643273,L5
720575941431888343,Mi1
720575941432070793,L3
720575941432163759,L5
720575941432219745,LHAV1e1
720575941432259064,L5
720575941432369801,L5
720575941432481199,L4
720575941432487599,L4
720575941432514953,LC25
720575941432531726,L5
720575941432638639,Mi1
720575941432639841,L4
720575941432767663,LHAV2m1
720575941432903928,LAL135
720575941432903928,"LAL160,LAL161"
720575941432951649,L5
720575941432970967,L1
720575941432987233,LHAV2a3b
720575941433010135,LAL087
720575941433010135,LHAV3a1
720575941433047905,L5
720575941433085793,L5
720575941433275607,L5
720575941433407703,L5
720575941433504865,LAL181
720575941433521761,LHAV1b3
720575941433521761,LHAV3a1
720575941433530721,LAL094
720575941433530721,LAL123
720575941433548814,L5
720575941433557857,LAL187
720575941433610510,R8
720575941434039566,DNp37
720575941434139662,LHAV3a1_c
720575941434139680,R8
720575941434269838,LAL156b
720575941434269838,R7
720575941434425870,Dm15
720575941434462478,L1
720575941434480142,R8
720575941434634766,LAL094
720575941434634766,LAL129
720575941434639118,LAL090
720575941434639118,LAL150b
720575941436397868,L5
720575941436415374,T2
720575941436509458,R7
720575941436861458,vDeltaA_a
720575941436861458,vDeltaD
720575941437458720,R7
720575941437501984,L5
720575941437595680,LHAV2g5
720575941437664288,L1
720575941437694240,L5
720575941437704224,L4
720575941437704224,LAL112
720575941437704224,LHAV2n1
720575941437839392,LAL168a
720575941437839392,LHAV3h1
720575941437858080,LAL115
720575941438648594,LC10c
720575941438979346,L2
720575941439146540,R7
720575941439229714,L4
720575941439339231,L4
720575941439458834,L1
720575941439637036,LC21
720575941439637036,R8
720575941439641618,L3
720575941439826911,L5
720575941439901970,LHAV2g1b
720575941439946047,L4
720575941440003628,T1
720575941440021292,Mi1
720575941440027154,L5
720575941440177708,LAL190
720575941440200255,LAL165
720575941440302421,R8
720575941440335935,R8
720575941440393279,L5
720575941440580671,R7
720575941440712021,L3
720575941440742719,T1
720575941440743487,L5
720575941440745951,R7
720575941440751679,Mi15
720575941440783839,R8
720575941440805855,L5
720575941440897005,L5
720575941440920543,LAL128
720575941441142253,L5
720575941441145325,L5
720575941441794495,L1
720575941441812159,R7
720575941441962687,L2
720575941442253403,LAL184
720575941442253403,LAL193
720575941442315471,R7
720575941442424255,L5
720575941442600795,L2
720575941442637247,R8
720575941442831451,LAL093
720575941442834879,LAL126
720575941442835407,Mi1
720575941442928475,L5
720575941442928475,LAL167b
720575941442928475,LHAV1a4
720575941443032271,LAL100
720575941443033435,L5
720575941443642575,LC10c
720575941445563562,LAL120b
720575941445563562,LHAV3e6
720575941445902506,L5
720575941446044074,Mi1
720575941446179242,L5
720575941446484138,LAL101
720575941448559285,R8
720575941448979476,L3
720575941448989460,L4
720575941449183252,L5
720575941449426452,LC28a
720575941449940558,L4
720575941449977466,LLPC4
720575941450427470,L5
720575941450783815,L5
720575941450953141,L5
720575941451077725,L4
720575941451077725,LHAV2b6
720575941451118005,L5
720575941451346013,L4
720575941451437134,L4
720575941451606621,T1
720575941451629639,L1
720575941451757902,R8
720575941452204878,R8
720575941453097594,L3
720575941453159593,L5
720575941453265530,L1
720575941453351081,AN_GNG_103
720575941453614458,R7
720575941453889095,L2
720575941453909831,L5
720575941453938759,T1
720575941453983047,L2
720575941454051399,LHAV3a1
720575941454122665,R7
720575941454261063,R7
720575941454710697,L3
720575941454770089,L1
720575941455896115,L2
720575941455951155,LAL165
720575941456043571,R8
720575941456121907,LAL158
720575941456379443,LAL157
720575941456905375,CB1151
720575941457705965,LC10c
720575941457841901,L2
720575941457913837,T1
720575941457993197,R8
720575941458016749,L4
720575941458146797,LC28a
720575941458253805,L1
720575941458325997,L4
720575941458334701,T1
720575941458986911,vDeltaB
720575941458986911,vDeltaD
720575941459357855,L5
720575941459955440,L1
720575941460088516,R7
720575941460171167,L1
720575941460336368,LHAV1d1
720575941460336368,LHAV2g2_b
720575941460395504,L4
720575941460469663,L5
720575941460582982,L4
720575941460667807,L5
720575941460685471,L5
720575941460751519,LAL087
720575941460751519,LAL144b
720575941460906822,T1
720575941460989892,R7
720575941461054916,R8
720575941461074899,T1
720575941461452102,L2
720575941461600838,L5
720575941461640262,LAL102
720575941461680454,LPC2
720575941461889747,L1
720575941462021331,L5
720575941462174916,Mi1
720575941462396115,L4
720575941462442948,L5
720575941462483667,T1
720575941462563283,L5
720575941462633485,L1
720575941462678739,T1
720575941462681043,L5
720575941462726355,L5
720575941462798276,R7
720575941462842067,LCNOp
720575941462842067,LHAV2g1a
720575941462941907,LC22
720575941462956499,"LAL103,LAL109"
720575941462956499,LHAV1b1
720575941463047891,LC10f
720575941463072144,R8
720575941463139268,L4
720575941463157956,L2
720575941463264708,L5
720575941463491085,L3
720575941463738256,T1
720575941464046605,R8
